brand,model,year,title,predicted_path,starting_price,source,verified_on
Porsche,Macan,2026,"2026 Porsche Macan Specs, Price & Trims",/2026/08/2026-porsche-macan-specs-price-and-trims.html,"$65,400",https://www.porsche.com/usa/models/macan/configure/,2026-09-14
Porsche,Macan Electric,2027,"2027 Porsche Macan Electric Specs, Price & Trims",/2026/08/2027-porsche-macan-electric-specs-price-and-trims.html,"$80,300",https://www.porsche.com/usa/models/macan/configure/,2026-09-14
Porsche,Cayenne,2027,"2027 Porsche Cayenne Specs, Price & Trims",/2026/08/2027-porsche-cayenne-specs-price-and-trims.html,"$89,900",https://www.porsche.com/usa/models/cayenne/,2026-09-14
Porsche,Cayenne Electric,2026,"2026 Porsche Cayenne Electric Specs, Price & Trims",/2026/08/2026-porsche-cayenne-electric-specs-price-and-trims.html,"$109,000",https://www.porsche.com/usa/models/cayenne/,2026-09-14
Lexus,IS,2026,"2026 Lexus IS Specs, Price & Trims",/2026/08/2026-lexus-is-specs-price-and-trims.html,"$46,895",https://pressroom.lexus.com/2026-lexus-is-perfecting-the-sport-sedan/,2026-09-14
Lexus,ES,2027,"2027 Lexus ES Specs, Price & Trims",/2026/08/2027-lexus-es-specs-price-and-trims.html,"$49,005",https://www.lexus.com/models/ES,2026-09-14
Lexus,LS,2026,"2026 Lexus LS Specs, Price & Trims",/2026/08/2026-lexus-ls-specs-price-and-trims.html,"$99,380",https://pressroom.lexus.com/2026-lexus-ls-a-homage-to-the-original/,2026-09-14
Lexus,LC,2026,"2026 Lexus LC Specs, Price & Trims",/2026/08/2026-lexus-lc-specs-price-and-trims.html,"$101,800",https://pressroom.lexus.com/tangible-elegance-the-2026-lexus-lc-500/,2026-09-14
Lexus,UX,2026,"2026 Lexus UX Specs, Price & Trims",/2026/08/2026-lexus-ux-specs-price-and-trims.html,"$38,850",https://pressroom.lexus.com/2026-lexus-ux-300h-a-powerful-hybrid-hatchback/,2026-09-14
Lexus,NX,2026,"2026 Lexus NX Specs, Price & Trims",/2026/08/2026-lexus-nx-specs-price-and-trims.html,"$45,570",https://pressroom.lexus.com/2026-lexus-nx-adds-grades-and-drivetrain/,2026-09-14
Lexus,RX,2026,"2026 Lexus RX Specs, Price & Trims",/2026/08/2026-lexus-rx-specs-price-and-trims.html,"$52,775",https://pressroom.lexus.com/2026-lexus-rx-extending-the-range/,2026-09-14
Lexus,TX,2026,"2026 Lexus TX Specs, Price & Trims",/2026/08/2026-lexus-tx-specs-price-and-trims.html,"$58,690",https://pressroom.lexus.com/style-utility-and-comfort-the-2026-lexus-tx/,2026-09-14
Lexus,GX,2026,"2026 Lexus GX Specs, Price & Trims",/2026/08/2026-lexus-gx-specs-price-and-trims.html,"$68,335",https://pressroom.lexus.com/2026-lexus-gx/,2026-09-14
